,Unnamed: 0,타입,검색어,영상,제목,업로더,조회수,업로드,구독자,유저,내용,좋아요,시각,commentMonth,commentYear,views,likes
52537,580,2,metaverse privacy,/watch?v=gElfIo6uw4g,Everything Facebook revealed about the Metaverse in 11 minutes,/c/CNET,5.8M views,9 months ago,0,"
              Chris Kay
            ","Whenever I feel nervous about doing something in front of people speaking, presenting etc I just look at mark zuckerburg, realise I’ll never be as bad as him and all my fears go away","
    283
  ",9 months ago,9,0,5800000,283
54853,656,2,metaverse privacy,/watch?v=wqn3gR1WTcA,Data Brokers: Last Week Tonight with John Oliver (HBO),/user/LastWeekTonight,6.9M views,4 months ago,0,"
              Mickey Holmes
            ","John Oliver is one of the first “secular” comics I was able to watch being raised by my great grandparents. Even though I’m almost 30 now, John still reminds me of the process of developing my own opinion and being able to joke about serious topics in an effective way","
    283
  ",4 months ago,4,0,6900000,283
53814,1857,2,metaverse privacy,/watch?v=gElfIo6uw4g,Everything Facebook revealed about the Metaverse in 11 minutes,/c/CNET,5.8M views,9 months ago,0,"
              Corduroy G
            ",Funny he says it's all about bringing people together when in actuality it's all about secluding people. To be alone. With FN holograms. Super social of you Mark,"
    283
  ",9 months ago,9,0,5800000,283
49990,354,2,metaverse privacy,/watch?v=RgJwPco3wew,The Metaverse could be a problem.,/c/Mrwhosetheboss,4.1M views,9 months ago,0,"
              NeoSoniX
            ","Honestly I've always looked forward to technological advancements and feats, but this is just plain scary.","
    282
  ",8 months ago,8,0,4099999,282
43470,13,2,metaverse privacy,/watch?v=bolyiGMcjBs,Why You Should Be Worried About Facebook's Metaverse | System Error,/c/VICENews,5.8M views,8 months ago,0,"
              Concerned
            ","My thought is, how will those that interact with the metaverse on the regular handle the true realities of their lives, and to think we have mental health issues  in America,  I believe this will take it to a new level.","
    282
  ",6 months ago,6,0,5800000,282
51047,1411,2,metaverse privacy,/watch?v=RgJwPco3wew,The Metaverse could be a problem.,/c/Mrwhosetheboss,4.1M views,9 months ago,0,"
              rlb9652
            ",I see so many 20+ year old people with the right mind set. We see how dangerous this will be..... meta is not for us. It's for YOUR kids. Stop letting games and social media raise children. The newest generation is all for this. They love this idea and it's our responsibility to protect them. STEP UP,"
    282
  ",8 months ago,8,0,4099999,282
53100,1143,2,metaverse privacy,/watch?v=gElfIo6uw4g,Everything Facebook revealed about the Metaverse in 11 minutes,/c/CNET,5.8M views,9 months ago,0,"
              Mohit
            ","""We are still the same evil company. Just a different name.""","
    282
  ",9 months ago,9,0,5800000,282
53816,1859,2,metaverse privacy,/watch?v=gElfIo6uw4g,Everything Facebook revealed about the Metaverse in 11 minutes,/c/CNET,5.8M views,9 months ago,0,"
              Serrated Creature⑨
            ",The only thing that excites me about it is not being a part of it.,"
    282
  ",9 months ago,9,0,5800000,282
49930,294,2,metaverse privacy,/watch?v=RgJwPco3wew,The Metaverse could be a problem.,/c/Mrwhosetheboss,4.1M views,9 months ago,0,"
              Arjun Pala
            ","As cool and immersive as this sounds, I think it's more of a serious mental health concern then people realise. 
Look at the virtual environments we currently have, gaming and social media. People are already putting thousands of ££ into looking a certain way or having an advantage against other people. People are seeing celebrities or their friends look a certain way and hating the way they look.

We are going to see more people become home bodies, not getting the nutrition or exercise they need to live, not getting the physical connection that humans need and crave.","
    281
  ",9 months ago,9,0,4099999,281
53191,1234,2,metaverse privacy,/watch?v=gElfIo6uw4g,Everything Facebook revealed about the Metaverse in 11 minutes,/c/CNET,5.8M views,9 months ago,0,"
              Josh Rees
            ",Nothing has made want to smash my phone with a hammer and run in to the wilderness more than this video.,"
    276
  ",9 months ago (edited),9,0,5800000,276
53805,1848,2,metaverse privacy,/watch?v=gElfIo6uw4g,Everything Facebook revealed about the Metaverse in 11 minutes,/c/CNET,5.8M views,9 months ago,0,"
              Mia F.
            ","Instead of working on improving the outside world like planting trees, preserving the clean sea, resolving excess garbage, protecting animals, NO, they invest in a VR. Just sit home and ignore all the rest..Great job Mark !","
    275
  ",9 months ago,9,0,5800000,275
48452,83,2,metaverse privacy,/watch?v=pFRXGxwat_U,关于元宇宙，你需要知道的那些事儿~ ｜NFT Metaverse,/c/Lindsay%E8%AF%B4,1.1M views,7 months ago,0,"
              小Lin说
            ","千呼万唤始出来的“元宇宙”来啦！元宇宙到底是什么！小Lin不打诳语，从商业的角度聊聊元宇宙这个老概念为啥在2021年就火了～ 祝大家新年快乐

小Lin不会以任何方式加私信，凡是以任何渠道要求加私信的全是冒充的骗子，请大家小心谨慎，顺手举报，谢谢啦！","
    274
  ",7 months ago (edited),7,0,1100000,274
52838,881,2,metaverse privacy,/watch?v=gElfIo6uw4g,Everything Facebook revealed about the Metaverse in 11 minutes,/c/CNET,5.8M views,9 months ago,0,"
              Beng Melea
            ",Does anyone remember how Neo didn't realize he was a mere battery powering his own AI controlled Metaverse existence until he took the Red Pill?  If not just let Zuck suck you in towards that dystopian future. But hey it's all fun and games bro. Surely Meta's not gonna use you as a product like Facebook has.... right?,"
    274
  ",9 months ago,9,0,5800000,274
53793,1836,2,metaverse privacy,/watch?v=gElfIo6uw4g,Everything Facebook revealed about the Metaverse in 11 minutes,/c/CNET,5.8M views,9 months ago,0,"
              Younes Brijan
            ",This guy is the most untrustworthy human I've ever seen,"
    273
  ",9 months ago,9,0,5800000,273
54740,543,2,metaverse privacy,/watch?v=wqn3gR1WTcA,Data Brokers: Last Week Tonight with John Oliver (HBO),/user/LastWeekTonight,6.9M views,4 months ago,0,"
              David L
            ","The thing you describe about unsubscribing from cookies being difficult is called a ""Dark Pattern"". This is basically where the system is designed to make it difficult to unsubscribe or to take advantage of people by adding extra steps or making the option they probably want very difficult to find. You could do an entire episode on this with the scope of things that take advantage of it. Try unsubscribing from Disney+ and see a great example of this in action.","
    273
  ",4 months ago (edited),4,0,6900000,273
53365,1408,2,metaverse privacy,/watch?v=gElfIo6uw4g,Everything Facebook revealed about the Metaverse in 11 minutes,/c/CNET,5.8M views,9 months ago,0,"
              Vapeur de Pisse  𓂺
            ",The extraterrestrial managed to learn positive human facial expressions to convey his message more effectively.,"
    271
  ",9 months ago,9,0,5800000,271
54620,423,2,metaverse privacy,/watch?v=wqn3gR1WTcA,Data Brokers: Last Week Tonight with John Oliver (HBO),/user/LastWeekTonight,6.9M views,4 months ago,0,"
              Swebliss
            ","BEST. EPISODE. EVER. Been warning about data brokers for years!
Now we will have a surge of people doing just what Oliver did (and probably way more discriminating..) 
Politicians, time to act fast now because something tells me you wont like this one bit.","
    270
  ",4 months ago (edited),4,0,6900000,270
